frb,utc,mjd,telescope,ra,dec,l,b,frequency,dm,flux,width,fluence,snr,reference
FRB 20010125A,2001-01-25 0:29:16,51934.02032,Parkes,19:06:53,-40:37:14,356.64,-20.02,-,790.3,0.54,-,-,-,https://www.wis-tns.org/object/20010125a
FRB 20010305A,2001-03-05 12:29:16,51973.52032,Parkes,4:57:20,-52:36:25,260.07,-38.35,1374,350,0.42,9,3.78,10.2,https://arxiv.org/abs/2004.04601
FRB 20010312A,2001-03-12 11:06:48,51980.46306,Parkes,5:26:55,-64:56:19,274.72,-33.3,-,1187,0.25,-,-,-,https://www.wis-tns.org/object/20010312a
FRB 20010621A,2001-06-21 13:02:11,52081.54318,Parkes,18:52:05,-8:29:35,25.43,-4,-,745,0.41,-,-,-,https://www.wis-tns.org/object/20010621a
FRB 20010724A,2001-07-24 19:50:02,52114.82641,Parkes,1:18:06,-75:12:18,300.65,-41.81,-,375,30,-,-,-,https://www.wis-tns.org/object/20010724a
FRB 20090625A,2009-06-25 21:53:51,55007.9124,Parkes,3:07:47,-29:55:36,226.44,-60.03,-,899.55,1.15,-,-,-,https://www.wis-tns.org/object/20090625a
FRB 20110214A,2011-02-14 7:14:10,55606.3015,Parkes,1:21:17,-49:47:11,290.73,-66.63,1352,168.9,27,1.9,51.3,13,https://www.wis-tns.org/object/20110214a
FRB 20110220A,2011-02-20 1:55:48,55612.08042,Parkes,22:34:38,-12:23:45,50.83,-54.77,-,944.38,1.11,-,-,-,https://www.wis-tns.org/object/20110220a
FRB 20110523A,2011-05-23 15:06:20,55704.6294,GBT,21:45:12,-0:09:37,56.29,-37.73,800,623.3,0.6,1.73,-,42,https://www.wis-tns.org/object/20110523a
FRB 20110626A,2011-06-26 21:33:17,55738.89811,Parkes,21:03:43,-44:44:19,355.86,-41.75,-,723,0.63,-,-,-,https://www.wis-tns.org/object/20110626a
FRB 20110703A,2011-07-03 18:59:41,55745.79145,Parkes,23:30:51,-2:52:24,81,-59.02,-,1103.6,0.45,-,-,-,https://www.wis-tns.org/object/20110703a
FRB 20120127A,2012-01-27 8:11:22,55953.34123,Parkes,23:15:06,-18:25:38,49.29,-66.2,-,553.3,0.62,-,-,-,https://www.wis-tns.org/object/20120127a
FRB 20121002A,2012-10-02 13:09:18,56202.54812,Parkes,18:14:47,-85:11:53,308.22,-26.26,-,1629.18,0.76,-,-,-,https://www.wis-tns.org/object/20121002a
FRB 20121029A,2012-10-29 16:06:26,56229.67113,Pushchino LPA,0:12:00,+42:03:36,115.15,-20.21,111,732,0.34,320,1380,7.3,https://www.wis-tns.org/object/20121029a
FRB 20121102A,2012-11-02 6:35:53,56233.27492,Arecibo,5:32:09,+33:05:13,174.95,-0.23,1375,557,0.4,3,1.2,14,https://www.wis-tns.org/object/20121102a
FRB 20130626A,2013-06-26 14:56:00,56469.62222,Parkes,16:27:06,-7:27:48,7.45,27.42,-,952.4,0.74,-,-,-,https://www.wis-tns.org/object/20130626a
FRB 20130628A,2013-06-28 3:58:00,56471.16528,Parkes,9:03:02,+03:26:16,225.96,30.66,-,469.88,1.91,-,-,-,https://www.wis-tns.org/object/20130628a
FRB 20130729A,2013-07-29 9:01:51,56502.37628,Parkes,13:41:21,-5:59:43,324.79,54.74,-,861,0.22,-,-,-,https://www.wis-tns.org/object/20130729a
FRB 20131030A,2013-10-30 16:13:15,56595.67587,Pushchino LPA,0:25:00,+39:58:48,117.45,-22.61,111,203,0.24,530,800,10.1,https://www.wis-tns.org/object/20131030a
FRB 20131104A,2013-11-04 18:04:11,56600.75291,Parkes,6:44:10,-51:16:40,260.56,-21.93,-,779,1.12,-,-,-,https://www.wis-tns.org/object/20131104a
FRB 20140212A,2014-02-12 10:31:14,56700.43836,Pushchino LPA,1:31:00,+30:32:24,132.93,-31.56,111,910,0.26,390,945,9.2,https://www.wis-tns.org/object/20140212a
FRB 20140514A,2014-05-14 17:14:11,56791.71818,Parkes,22:34:06,-12:18:46,50.84,-54.61,-,562.7,0.471,-,-,-,https://www.wis-tns.org/object/20140514a
FRB 20141113A,2014-11-13 7:42:55,56974.32147,Arecibo,6:13:00,+18:47:11.20,191.91,0.36,1375,400.3,0.039,2,0.078,8.4,https://www.wis-tns.org/object/20141113a
FRB 20141216A,2014-12-16 13:03:24,57007.54403,Pushchino LPA,0:14:00,+41:38:24,115.47,-20.69,111,545,0.23,870,1200,7.6,https://www.wis-tns.org/object/20141216a
FRB 20150215A,2015-02-15 20:41:42,57068.86229,Parkes,18:17:27,-4:54:15,24.66,5.28,1352,1105.6,0.7,2.88,2.02,19,https://www.wis-tns.org/object/20150215a
FRB 20150418A,2015-04-18 4:29:07,57130.18689,Parkes,7:16:35,-19:00:40,232.67,-3.23,1352,776.2,2.2,0.8,1.76,39,https://www.wis-tns.org/object/20150418a
FRB 20150517A,2015-05-17 17:42:09,57159.7376,Arecibo,5:32:01,+33:07:56,174.9,-0.22,1375,560,0.03,3.8,-,-,https://www.wis-tns.org/object/20150517a
FRB 20150517B,2015-05-17 17:51:41,57159.74422,Arecibo,5:32:01,+33:07:56,174.9,-0.22,1375,566,0.03,3.3,-,-,https://www.wis-tns.org/object/20150517b
FRB 20150602A,2015-06-02 16:38:08,57175.69315,Arecibo,5:32:01,+33:07:53,174.9,-0.22,1375,555,0.04,4.6,-,-,https://www.wis-tns.org/object/20150602a
FRB 20150602B,2015-06-02 16:47:36,57175.69972,Arecibo,5:32:01,+33:07:53,174.9,-0.22,1375,558,0.02,8.7,-,-,https://www.wis-tns.org/object/20150602b
FRB 20150602C,2015-06-02 17:49:19,57175.74258,Arecibo,5:31:55,+33:08:13,174.88,-0.24,1375,559,0.02,2.8,-,-,https://www.wis-tns.org/object/20150602c
FRB 20150602D,2015-06-02 17:49:41,57175.74284,Arecibo,5:31:55,+33:08:13,174.88,-0.24,1375,559,0.02,6.1,-,-,https://www.wis-tns.org/object/20150602d
FRB 20150602E,2015-06-02 17:50:39,57175.74351,Arecibo,5:31:55,+33:08:13,174.88,-0.24,1375,556.5,0.14,6.6,-,-,https://www.wis-tns.org/object/20150602e
FRB 20150602F,2015-06-02 17:53:46,57175.74567,Arecibo,5:31:55,+33:08:13,174.88,-0.24,1375,557.4,0.05,6,-,-,https://www.wis-tns.org/object/20150602f
FRB 20150602G,2015-06-02 17:56:35,57175.74763,Arecibo,5:31:55,+33:08:13,174.88,-0.24,1375,558.7,0.05,8,-,-,https://www.wis-tns.org/object/20150602g
FRB 20150602H,2015-06-02 17:57:32,57175.74829,Arecibo,5:31:55,+33:08:13,174.88,-0.24,1375,556.5,0.31,3.06,-,-,https://www.wis-tns.org/object/20150602h
FRB 20150610A,2015-06-10 5:26:59,57183.22707,Parkes,10:44:26,-40:05:23,278.09,16.58,1352,1593.9,0.7,2,1.3,18,https://www.wis-tns.org/object/20150610a
FRB 20150807A,2015-08-07 17:53:56,57241.74579,Parkes,22:42:31,-55:04:42,333.89,-53.6,1352,266.5,128,0.35,44.8,-,https://www.wis-tns.org/object/20150807a
